Redshift r_mag g-r_col g-r_slope z_mag r-z_col r-z_slope
0.0347 14.23642363 0.8196930496 -0.02864153 -10.0 -10.0 -10.0
0.0348 14.24270892 0.8199125664 -0.028654119999999998 -10.0 -10.0 -10.0
0.0349 14.248994210000001 0.8201320832 -0.028666709999999998 -10.0 -10.0 -10.0
0.035 14.2552795 0.8203516 -0.028679299999999998 -10.0 -10.0 -10.0
0.0351 14.26156479 0.8205711168 -0.02869189 -10.0 -10.0 -10.0
0.0352 14.26785008 0.8207906336 -0.02870448 -10.0 -10.0 -10.0
0.0353 14.27413537 0.8210101504 -0.02871707 -10.0 -10.0 -10.0
0.0354 14.28042066 0.8212296672 -0.02872966 -10.0 -10.0 -10.0
0.0355 14.28670595 0.821449184 -0.02874225 -10.0 -10.0 -10.0
0.0356 14.292991240000001 0.8216687008 -0.02875484 -10.0 -10.0 -10.0
0.0357 14.29927653 0.8218882176 -0.02876743 -10.0 -10.0 -10.0
0.0358 14.305561820000001 0.8221077344000001 -0.02878002 -10.0 -10.0 -10.0
0.0359 14.31184711 0.8223272512 -0.02879261 -10.0 -10.0 -10.0
0.036 14.3181324 0.822546768 -0.0288052 -10.0 -10.0 -10.0
0.0361 14.32441769 0.8227662848 -0.02881779 -10.0 -10.0 -10.0
0.0362 14.33070298 0.8229858016 -0.02883038 -10.0 -10.0 -10.0
0.0363 14.33698827 0.8232053184 -0.02884297 -10.0 -10.0 -10.0
0.0364 14.34327356 0.8234248352 -0.02885556 -10.0 -10.0 -10.0
0.0365 14.349558850000001 0.823644352 -0.02886815 -10.0 -10.0 -10.0
0.0366 14.35584414 0.8238638688000001 -0.02888074 -10.0 -10.0 -10.0
0.0367 14.36212943 0.8240833856 -0.02889333 -10.0 -10.0 -10.0
0.0368 14.36841472 0.8243029024 -0.028905919999999998 -10.0 -10.0 -10.0
0.0369 14.37470001 0.8245224192 -0.028918509999999998 -10.0 -10.0 -10.0
0.037 14.3809853 0.824741936 -0.0289311 -10.0 -10.0 -10.0
0.0371 14.38727059 0.8249614528 -0.02894369 -10.0 -10.0 -10.0
