     Redshift       	 r_mag         	  g-r_col    	 g-r_slope       	  z_mag        	  r-z_col    	 r-z_slope   
1.38000	-10	-10	-10	22.926826	2.5347328	-0.0314998
1.39000	-10	-10	-10	22.947054	2.5533524	-0.0314885
1.40000	-10	-10	-10	22.961173	2.5941696	-0.0314771
1.41000	-10	-10	-10	22.979823	2.6111183	-0.0313903
1.42000	-10	-10	-10	22.999517	2.6203918	-0.0313034
1.43000	-10	-10	-10	23.015225	2.6538315	-0.0312166
1.44000	-10	-10	-10	23.031988	2.6737785	-0.0311297
1.45000	-10	-10	-10	23.050885	2.7056122	-0.0310429
1.46000	-10	-10	-10	23.068555	2.7191772	-0.0309560
1.47000	-10	-10	-10	23.087177	2.7446747	-0.0308692
1.48000	-10	-10	-10	23.104848	2.7620163	-0.0307823
1.49000	-10	-10	-10	23.118702	2.7771225	-0.0306955
1.50000	-10	-10	-10	23.132151	2.7835922	-0.0306086
